,input,output
34,大戸屋,大戸屋は公的資金投入して欲しい感じ
35,理想の教育とは,学部一年でTOEFL受けさせて、目標と勉強法を指導する人を用意して、学部4年で達成したら百万円もらえるってのが良いかな。
36,iphone7,7+は、さすがに売れないが自分で使う分には。
37,なしですか？,それはありだろ
38,男子と女子どっちが数学できるの？,男女等しく数学できないので、そこになんか差があると感じない。東工大でも女史の方が成績良かったし。
39,奴隷は嫌,奴隷が嫌なら、女性とは付き合えないのでは?
40,業務理解放棄とIT理解放棄のど悪い？,業務理解放棄とIT理解放棄のどっちの罪が重いかは自明だろ。
41,osの課題,うちのレベルの学生には無理みたいな話も聞くが関係ない。英語五千ページとか単なる教養。
42,背広のポケットってiphone入るの？,背広のポケットを7+に合わせてあったりするんだが、Pro maxでも問題ないのか
43,VR楽しいよ！,VR、まぁ、物珍しいが疲れるだけ説
44,単位ください,あぁ、おれおれ証明書を登録しろと
45,反ワクチンについてどう思いますか？,反ワクチンも同じ面があって反ワクチン自体は放置で良い。それとワクチン推進と効果の解析は独立だし、馬鹿に関わるのは時間の無駄ってことね。マスクしてないのにうるさく言っても無駄なだけ。
46,日本語が難しいです,見かけ日本人で、まったく日本語できない不幸もなぁ… いや、それは裏返せば有利さなのだが、子供の頃には反発してしまうんだよな。
47,TeXでいいですか？,TeXは、いろいろ問題ある。md でいいだろ説はあるが… MS Word の問題とも関連してる。
48,緊急事態中は海外旅行に行けないんですか？,でも、それは建前で中国の中から外は割とアクセスし放題なんだろうな。いくらでも方法あるから。
49,子育てが大変,社会が子育てを支援してないから、必要なものを全部持ち歩くってことになってるのだろうな。
50,原発は必要すか？,原発がないと電気が足りないみたいな論調を見るけど、もともと原発分って2割ぐらい。原発の稼働率があまり高くなかったのは、燃料代が安い時には火力を使った方が良いからだったんじゃないかな。
51,君の愛馬が〜,ゲームやる気はないんだが、うま娘のアニメはみるべきか。艦これは映画込みなら見る価値がある的な話なんだが映画は録画し損なった…
52,基地問題って実際どうなんですか？,離島に米軍基地を主張する人は多いけど普天間や嘉手納は補給基地だからなぁ。
53,菅総理、、,首相の会見は国民に対するデモンストレーションなのだが、そこで守りに入るようではブレーンの質が知れる。安倍首相の方がまともだったのはそこ。
54,とりま修正しとこか？,手探りで修理するのはやめてくれ。
55,エスカレーターは立ち止まる派,そんなわけでエスカレーターは片側空けが正義だし、安全に通れる自信があるなら歩いて追い越しても良いよ。僕は追い越されても危ないとか文句は言わん。
56,非可算積分がわからん,もしかして、竹内外史先生のには、非可算積分載ってたりするの?
57,NetAppはどうですか,NetAPP 一ついれるよりは、安物RAIDで二重化するのが僕の趣味だが、設定しくじるのが学生だからな。rsnapshot で、ちゃんと運用すれば十分なはずで、コスト的にはかなり安い。
58,オンラインストレージについて,iDiskや、遅れてきた dropbox よりは、Bitcasa が使いやすい。問題は使いこなしに癖があることだな。File system だから、UIとかあまり関係ない。
59,awkですか？,gawk はone linerで使うイメージだが、かなりのものが書けるのも確か。でも、Perl でしょ。
60,サムライレンズマンいいですよね,日本人が書いたサムライレンズマンも良い出来だった。いま、レンズマンを再発見する人いるのかな。
61,沖縄のバス不便ですよね,125のバス減らすのクソだよな。そういう人たちなんだが。
62,Ingressいいですよね,もうだいぶ涼しいので、中部商業の坂や大謝名の坂を登っても大丈夫。真栄原から我如古は長く感じるので歩かない。
63,成功したい,「ほげほげな方法では成功しない」というのは簡単だが、成功してる例は結構そんな例に当てはまったりする。だいたい成功してる例が方法論になるのだろうし。
64,ブルーレイいいですよね,一回、50枚のBD-Rの不良品食らったことがあって、いまでも祟ってる。
65,プッチンプリン,シリアに関するプーチン氏のコメントはひどい。難民の責任をドイツに取らせておいて...
66,男は馬鹿な生き物ですよね,男性は女性と違って、それ自身で完結していないからなぁ。
67,旅行者についてどう思いますか?,日本の感染源は渡航者が主ではもはやないのに…
68,Moggi,Moggi の論文には、いろんな計算の計算結果以外の様子(副作用、失敗、並列、非決定性等)を表すのにMonadが有効だと書いてある。
69,風強いですね、ぎりぎり出かけることができるかな,しかし、強風圏と暴風圏は紙一重
70,上司がアナログなんです...,超時代遅れの会社に文句を言う人材に「同情できない」という人か。所属したら二週間程度で改善できるところを提案できないとダメなんていう話しも聞いたが、その反対だな。
71,最近のAgdaはどうですか,新しい方法を考え出したのだが、とっかかりがない。
72,原発についてどう思いますか,BWRで起き得る最大の事故の規模と対処法が判明したということでもある。事故処理できないとはしゃいでる人たちもいるが、時間が経てば放射能は減るので難易度は下がる。実際にいろいろ作業は進んでる。
73,インフレってなに,ハイパーインフレってそういうものなんだよな。70年代の狂乱物価は倍もいってないが、その後のインフレ忌避につながってる。
74,フードコート,店員のおばちゃんがいるのにお水セルフって意味不明だな。
75,古今東西,古今東西、キムボールキニスンの偽名〜
76,飲食店,飲み屋さんTシャツとかはまだなんとかなるがスナックのはなぁ
77,えー,自分の理解では、p7m は署名込みで暗号化されてると思うんだが、違うのかな。
78,リコール,リコール署名捏造事件はどうなったのかな
79,PC9801,PC9801は、そのそも名前からしてPC8001の延長で、CP/M86、MSDOSが動けばよいし、しかも、漢字表示ってなぐあいで。便利ではあったが。C-Bus
80,課金,エントロピー課金ストレージ、結構面白いな
81,排他律,まさか、SetsのToposのsubobject classifierが排他律を仮定する必要があるとはね。そんなこと一言も書いてないじゃん。
82,コロナおさまったね,もうコロナ怖くないとか言ってるのがいるけど、イギリスを見ると、日本のこれからの状況がだいたい予測できる。感染は再拡大し重症者は未ワクチン中心になるが、それほどは増えない。
83,国籍,そのうち多重国籍禁止は国際法違反ってことになるんじゃないかな。国際法になんの意味があるのかは知らんが。
84,陰謀論好きですか,某国の陰謀じゃないかってくらい、いろいろ降ってきてる
85,Yeah,version up
86,先生の喋りが好きです,まぁ、文句言いたいだけなので、言わせたおいた方が良い。
87,原発,これは反論の余地ないな。でも無意味に原発停めたのは当時の民主政権だろ。あれがなかっただけで、ぐっと楽だったはず。
88,Squeak Smalltak,Squeak/Smalltakは今でも学習する意味はあると思う。型宣言のない言語、λ式であるブロックの多用、自己記述、オブジェクトの置き換え。
89,消費税率高すぎないですか,消費税20%論者だが、あと10%上げるなら所得税下げと組み合わせてやれば良い。低所得層には直接配布や最低賃金上げで。それでも反対な君はどの辺りの層の人なのかな。多分、金持ちは消費税気にしてないぞ。そう主張してたでしょ。
90,自転車乗ったことあります？,最近は終バス逃すとレンタル自転車使ったりしてるんだが… この前は根性なくてタクシー
91,なにしてたの〜？,爆睡した
92,ヘビメタっていいよね,ヘビィメタを暗くて重苦しいという寂しい感性
93,授業する側って大変ですか？,ま、確かに学生の授業は、案件が学生の数だけ進行してると言えなくもない。
94,メール返信お願いします,proc と porc を間違えて、メールが出て行ってなかった。
95,沖縄のバスって使えます？,バスの時間がダメだな…
96,理想の政府,自分に有利な腐敗した政府、敵を逮捕監禁してくれる政府。
97,先生のお母さんってどんな人？,母は投資なんかしなかったな。必要ないし。富裕でも貧乏でも、要らない人には要らない。単なる余計な手間。
98,インフレって大変だね,インフレは戦争や内戦と同じで、なければそれで十分的なところがあるのかも。
99,少子化対策,実際、不安定な所得税法人税で再配分とか教育とか少子化対策するのは難しいとは思う。消費税は割と読みやすい。
100,今起きた，授業間に合うかな,あと7分とある
101,家事多すぎて草,家事が週100とかあるのは自慢でも当然のことでもなくて、それはなおすべき悪習だし、無駄なことだと思う。
102,Webex,Webexってブラウザからだとゲストとして参加できない?
